,nome_inct,area,coordenador,Identificador,path_gexf,texto
19,INCT Translacional em Medicina,Ciências Biológicas,Jaime Eduardo Cecilio Hallak,90,gexf_fixed/INCT_90_T2_fixed.gexf,"O INCT INCT Translacional em Medicina Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
11,INCT Virtual da Flora e dos Fungos,Ciências Biológicas,Leonor Costa Maia,91,gexf_fixed/INCT_91_T2_fixed.gexf,"O INCT INCT Virtual da Flora e dos Fungos Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
45,INCT de Fármacos e Medicamentos,Ciências Exatas e da Terra,Lidia Moreira Lima,92,gexf_fixed/INCT_92_T2_fixed.gexf,"O INCT INCT de Fármacos e Medicamentos Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
48,INCT de Bioanalítica,Ciências Exatas e da Terra,Marco Aurélio Zezzi Arruda,93,gexf_fixed/INCT_93_T2_fixed.gexf,"O INCT INCT de Bioanalítica Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
14,INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Saúde,Carlos Ueira-Vieira,94,gexf_fixed/INCT_94_T2_fixed.gexf,"O INCT INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
30,INCT de Oncogenômica e Inovação Terapêutica,Saúde,Dirce Maria Carraro,95,gexf_fixed/INCT_95_T2_fixed.gexf,"O INCT INCT de Oncogenômica e Inovação Terapêutica Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
36,INCT de Energia Elétrica (INCT-INERGE),"Engenharias, Energias e Tecnologias da Informação",Moisés Vidal Ribeiro,96,gexf_fixed/INCT_96_T2_fixed.gexf,"O INCT INCT de Energia Elétrica (INCT-INERGE) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
59,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação",César Rossas Mota Filho,97,gexf_fixed/INCT_97_T2_fixed.gexf,"O INCT INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
44,INCT em Geração Distribuída de Energia Elétrica,"Engenharias, Energias e Tecnologias da Informação",Cassiano Rech,98,gexf_fixed/INCT_98_T2_fixed.gexf,"O INCT INCT em Geração Distribuída de Energia Elétrica Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
80,INCT de Catálise em Sistemas Moleculares e Nanoestruturados,Ciências Exatas e da Terra,Hugo Alejandro Gallardo Olmedo,99,gexf_fixed/INCT_99_T2_fixed.gexf,"O INCT INCT de Catálise em Sistemas Moleculares e Nanoestruturados Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
101,INCT em Refrigeração e Termofísica,"Engenharias, Energias e Tecnologias da Informação",Jader Riso Barbosa Júnior,100,gexf_fixed/INCT_100_T2_fixed.gexf,"O INCT INCT em Refrigeração e Termofísica Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
63,INCT em Tuberculose,Ciências Biológicas,Luiz Augusto Basso,101,gexf_fixed/INCT_101_T2_fixed.gexf,"O INCT INCT em Tuberculose Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
100,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação",Luiz Cesar de Queiroz Ribeiro,102,gexf_fixed/INCT_102_T2_fixed.gexf,"O INCT INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020 Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
74,"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Ecologia e Meio Ambiente,Paulo Teixeira de Sousa Júnior,103,gexf_fixed/INCT_103_T2_fixed.gexf,"O INCT INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
