,inct_folder,nome_inct,area,coordenador
66,para_Estudos_sobre,INCT para Estudos sobre os Estados Unidos,"Ciências Humanas, Sociais Aplicadas e Educação",Sebastiao Carlos Velasco e Cruz
67,de_Madeiras_da,INCT de Madeiras da Amazônia,Ciências Agrárias e Agronegócios,Niro Higuchi
68,de_Obesidade_e,INCT de Obesidade e Diabetes,Saúde,Mario José Abdalla Saad
69,de_Políticas_Públicas,"INCT de Políticas Públicas, Estratégias e Desenvolvimento","Ciências Humanas, Sociais Aplicadas e Educação",Renato Raul Boschi
70,História_Social_das,INCT História Social das Propriedades e direito de acesso,"Ciências Humanas, Sociais Aplicadas e Educação",Márcia Maria Menendes Motta
71,sobre_Comportamento_Cognição,"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)","Ciências Humanas, Sociais Aplicadas e Educação",Deisy das Graças de Souza
72,em_Comunicação_Pública,INCT em Comunicação Pública da Ciência e Tecnologia,"Ciências Humanas, Sociais Aplicadas e Educação",Luisa Medeiros Massarani
73,Instituto_Geotécnico_de,INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,"Engenharias, Energias e Tecnologias da Informação",Willy Alvarenga Lacerda
74,em_Áreas_Úmidas,"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Ecologia e Meio Ambiente,Paulo Teixeira de Sousa Júnior
75,para_Adaptações_da,INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Ciências Biológicas,Adalberto Luis Val
76,de_Frutos_Tropicais,INCT de Frutos Tropicais,Ciências Agrárias e Agronegócios,Narendra Narain
77,Brasil_Plural,INCT Brasil Plural,"Ciências Humanas, Sociais Aplicadas e Educação",Esther Jean Langdon
78,do_e_Universo,INCT do e-Universo,Ciências Exatas e da Terra,Luiz Alberto Nicolaci da Costa
79,Envelhecimento_e_Doenças,INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Ciências Biológicas,Mayana Zatz
80,de_Catálise_em,INCT de Catálise em Sistemas Moleculares e Nanoestruturados,Ciências Exatas e da Terra,Hugo Alejandro Gallardo Olmedo
81,de_Investigação_em,INCT de Investigação em Imunologia,Ciências Biológicas,Jorge Elias Kalil Filho
82,Instituto_da_Democracia,INCT Instituto da Democracia e da Democratização da Comunicação,"Ciências Humanas, Sociais Aplicadas e Educação",Leonardo Avritzer
83,Processamento_e_Aplicação,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação",Fernando Jose Gomes Landgraf
84,da_Internet_do,INCT da Internet do Futuro,Ciências Exatas e da Terra,Fabio Kon
85,Inovação_em_Medicamentos,INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Ciências Biológicas,Joao Batista Calixto
86,em_Estudos_Tectônicos,INCT em Estudos Tectônicos,Ciências Exatas e da Terra,Reinhardt Adolfo Fuck
87,Tecnologias_Ecoeficientes_Avan,INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,"Engenharias, Energias e Tecnologias da Informação",Vanderley Moacyr John
88,de_Vacinas,INCT de Vacinas,Ciências Biológicas,Ricardo Tostes Gazzinelli
89,de_Geofísica_do,INCT de Geofísica do Petróleo,Ciências Exatas e da Terra,Milton José Porsani
90,para_Sistemas_Autônomos,INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,"Engenharias, Energias e Tecnologias da Informação",Marco Henrique Terra
91,de_Arqueologia_Paleontologia,"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil","Ciências Humanas, Sociais Aplicadas e Educação",Anne Marie Pessis
92,de_Biomarcadores_em,INCT de Biomarcadores em Neuropsiquiatria (INCT-INBioN),Saúde,Wagner Farid Gattaz
93,de_Sistemas_Complexos,INCT de Sistemas Complexos,Ciências Exatas e da Terra,Evaldo Mendonca Fleury Curado
94,de_Energias_Oceânicas,INCT de Energias Oceânicas e Fluviais (INCT-INEOF),"Engenharias, Energias e Tecnologias da Informação",Osvaldo Ronald Saavedra Mendez
95,Tecnologia_GNSS_no,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação",Joao Francisco Galera Monico
96,de_Pesquisa_em,INCT de Pesquisa em Resistência a Antimicrobianos,Ciências Biológicas,Afonso Luís Barth
97,de_Doenças_Tropicais,INCT de Doenças Tropicais,Saúde,Edgar Marcelino de Carvalho Filho
98,Inclusão_no_Ensino,INCT Inclusão no Ensino Superior e na Pesquisa,"Ciências Humanas, Sociais Aplicadas e Educação",Jose Jorge de Carvalho
99,de_Semioquímicos_na,INCT de Semioquímicos na Agricultura,Ciências Agrárias e Agronegócios,José Roberto Postali Parra
100,AS_METRÓPOLES_E,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação",Luiz Cesar de Queiroz Ribeiro
101,em_Refrigeração_e,INCT em Refrigeração e Termofísica,"Engenharias, Energias e Tecnologias da Informação",Jader Riso Barbosa Júnior
102,Centro_de_Química,INCT Centro de Química Medicinal de Acesso Aberto,Ciências Biológicas,Paulo Arruda
