inct_folder,formacao_mais_alta,qtd,nome_inct,area
95,Nanotecnologia_Farmacêutica_um,Pós-Doutorado,28,INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Saúde
96,Neuroimmunomodulação,Doutorado,74,INCT Neuroimmunomodulação,Ciências Biológicas
97,Neuroimmunomodulação,Ensino Fundamental,1,INCT Neuroimmunomodulação,Ciências Biológicas
98,Neuroimmunomodulação,Ensino Médio,2,INCT Neuroimmunomodulação,Ciências Biológicas
99,Neuroimmunomodulação,Especialização,2,INCT Neuroimmunomodulação,Ciências Biológicas
100,Neuroimmunomodulação,Graduação,4,INCT Neuroimmunomodulação,Ciências Biológicas
101,Neuroimmunomodulação,Livre-Docência,6,INCT Neuroimmunomodulação,Ciências Biológicas
102,Neuroimmunomodulação,Mestrado,17,INCT Neuroimmunomodulação,Ciências Biológicas
103,Neuroimmunomodulação,Pós-Doutorado,80,INCT Neuroimmunomodulação,Ciências Biológicas
104,Observatório_Nacional_da,Doutorado,46,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação"
105,Observatório_Nacional_da,Especialização,2,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação"
106,Observatório_Nacional_da,Graduação,9,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação"
107,Observatório_Nacional_da,Livre-Docência,1,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação"
108,Observatório_Nacional_da,Mestrado,30,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação"
109,Observatório_Nacional_da,Pós-Doutorado,46,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação"
110,Observatório_das_Dinâmicas,Doutorado,53,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação"
111,Observatório_das_Dinâmicas,Especialização,2,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação"
112,Observatório_das_Dinâmicas,Graduação,7,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação"
113,Observatório_das_Dinâmicas,Livre-Docência,8,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação"
114,Observatório_das_Dinâmicas,Mestrado,20,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação"
115,Observatório_das_Dinâmicas,Pós-Doutorado,51,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação"
116,Processamento_e_Aplicação,Doutorado,42,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação"
117,Processamento_e_Aplicação,Especialização,3,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação"
118,Processamento_e_Aplicação,Graduação,18,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação"
