nome_inct,tipo_producao,n_tipos_producao
INCT em Democracia Digital,Artigo Aceito Para Publicacao,22
INCT em Democracia Digital,Artigo Publicado,2031
INCT em Democracia Digital,Capitulo De Livro Publicado,1186
INCT em Democracia Digital,Livro Publicado Ou Organizado,265
INCT em Democracia Digital,Outra Producao Bibliografica,303
INCT em Democracia Digital,Prefacio Posfacio,91
INCT em Democracia Digital,Texto Em Jornal Ou Revista,1125
INCT em Democracia Digital,Trabalho Em Eventos,1664
INCT em Democracia Digital,Traducao,20
INCT em Dengue e Interação Microorganismo-hospedeiro,Artigo Aceito Para Publicacao,23
INCT em Dengue e Interação Microorganismo-hospedeiro,Artigo Publicado,5182
INCT em Dengue e Interação Microorganismo-hospedeiro,Capitulo De Livro Publicado,356
INCT em Dengue e Interação Microorganismo-hospedeiro,Livro Publicado Ou Organizado,84
INCT em Dengue e Interação Microorganismo-hospedeiro,Outra Producao Bibliografica,49
INCT em Dengue e Interação Microorganismo-hospedeiro,Prefacio Posfacio,23
INCT em Dengue e Interação Microorganismo-hospedeiro,Texto Em Jornal Ou Revista,63
INCT em Dengue e Interação Microorganismo-hospedeiro,Trabalho Em Eventos,2787
INCT em Dengue e Interação Microorganismo-hospedeiro,Traducao,12
INCT em Eletrônica Orgânica (INCT-INEO),Artigo Aceito Para Publicacao,17
INCT em Eletrônica Orgânica (INCT-INEO),Artigo Publicado,4536
INCT em Eletrônica Orgânica (INCT-INEO),Capitulo De Livro Publicado,226
INCT em Eletrônica Orgânica (INCT-INEO),Livro Publicado Ou Organizado,58
INCT em Eletrônica Orgânica (INCT-INEO),Outra Producao Bibliografica,27
INCT em Eletrônica Orgânica (INCT-INEO),Prefacio Posfacio,7
INCT em Eletrônica Orgânica (INCT-INEO),Texto Em Jornal Ou Revista,118
INCT em Eletrônica Orgânica (INCT-INEO),Trabalho Em Eventos,4377
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Artigo Aceito Para Publicacao,59
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Artigo Publicado,5421
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Capitulo De Livro Publicado,1107
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Livro Publicado Ou Organizado,265
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Outra Producao Bibliografica,130
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Partitura Musical,2
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Prefacio Posfacio,41
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Texto Em Jornal Ou Revista,339
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Trabalho Em Eventos,4150
INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Traducao,5
INCT em Estudos Tectônicos,Artigo Aceito Para Publicacao,16
INCT em Estudos Tectônicos,Artigo Publicado,1657
INCT em Estudos Tectônicos,Capitulo De Livro Publicado,124
INCT em Estudos Tectônicos,Livro Publicado Ou Organizado,29
INCT em Estudos Tectônicos,Outra Producao Bibliografica,16
INCT em Estudos Tectônicos,Prefacio Posfacio,7
INCT em Estudos Tectônicos,Texto Em Jornal Ou Revista,24
INCT em Estudos Tectônicos,Trabalho Em Eventos,1860
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Artigo Aceito Para Publicacao,27
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Artigo Publicado,3221
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Capitulo De Livro Publicado,249
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Livro Publicado Ou Organizado,56
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Outra Producao Bibliografica,22
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Prefacio Posfacio,5
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Texto Em Jornal Ou Revista,86
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Trabalho Em Eventos,2180
INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Traducao,2
INCT em Geração Distribuída de Energia Elétrica,Artigo Aceito Para Publicacao,17
INCT em Geração Distribuída de Energia Elétrica,Artigo Publicado,2514
INCT em Geração Distribuída de Energia Elétrica,Capitulo De Livro Publicado,159
INCT em Geração Distribuída de Energia Elétrica,Livro Publicado Ou Organizado,53
INCT em Geração Distribuída de Energia Elétrica,Outra Producao Bibliografica,34
INCT em Geração Distribuída de Energia Elétrica,Prefacio Posfacio,3
INCT em Geração Distribuída de Energia Elétrica,Texto Em Jornal Ou Revista,71
INCT em Geração Distribuída de Energia Elétrica,Trabalho Em Eventos,5376
INCT em Materiais Complexos Funcionais (INCT-Inomat),Artigo Aceito Para Publicacao,41
INCT em Materiais Complexos Funcionais (INCT-Inomat),Artigo Publicado,6041
INCT em Materiais Complexos Funcionais (INCT-Inomat),Capitulo De Livro Publicado,291
INCT em Materiais Complexos Funcionais (INCT-Inomat),Livro Publicado Ou Organizado,62
INCT em Materiais Complexos Funcionais (INCT-Inomat),Outra Producao Bibliografica,142
INCT em Materiais Complexos Funcionais (INCT-Inomat),Prefacio Posfacio,8
INCT em Materiais Complexos Funcionais (INCT-Inomat),Texto Em Jornal Ou Revista,180
INCT em Materiais Complexos Funcionais (INCT-Inomat),Trabalho Em Eventos,3674
INCT em Materiais Complexos Funcionais (INCT-Inomat),Traducao,63
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Artigo Aceito Para Publicacao,85
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Artigo Publicado,5995
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Capitulo De Livro Publicado,867
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Livro Publicado Ou Organizado,227
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Outra Producao Bibliografica,103
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Prefacio Posfacio,10
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Texto Em Jornal Ou Revista,146
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Trabalho Em Eventos,6944
INCT em Medicina Assistida por Computação Científica (INCT-MACC),Traducao,53
INCT em Medicina Regenerativa,Artigo Aceito Para Publicacao,56
INCT em Medicina Regenerativa,Artigo Publicado,10460
INCT em Medicina Regenerativa,Capitulo De Livro Publicado,818
INCT em Medicina Regenerativa,Livro Publicado Ou Organizado,102
INCT em Medicina Regenerativa,Outra Producao Bibliografica,100
INCT em Medicina Regenerativa,Prefacio Posfacio,5
INCT em Medicina Regenerativa,Texto Em Jornal Ou Revista,242
INCT em Medicina Regenerativa,Trabalho Em Eventos,8649
INCT em Medicina Regenerativa,Traducao,11
INCT em Refrigeração e Termofísica,Artigo Aceito Para Publicacao,9
INCT em Refrigeração e Termofísica,Artigo Publicado,289
INCT em Refrigeração e Termofísica,Capitulo De Livro Publicado,5
INCT em Refrigeração e Termofísica,Livro Publicado Ou Organizado,12
INCT em Refrigeração e Termofísica,Texto Em Jornal Ou Revista,1
INCT em Refrigeração e Termofísica,Trabalho Em Eventos,413
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Artigo Aceito Para Publicacao,46
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Artigo Publicado,7814
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Capitulo De Livro Publicado,578
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Livro Publicado Ou Organizado,90
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Outra Producao Bibliografica,64
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Prefacio Posfacio,3
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Texto Em Jornal Ou Revista,292
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Trabalho Em Eventos,5849
INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Traducao,1
INCT em Tuberculose,Artigo Aceito Para Publicacao,29
INCT em Tuberculose,Artigo Publicado,3934
INCT em Tuberculose,Capitulo De Livro Publicado,313
INCT em Tuberculose,Livro Publicado Ou Organizado,42
INCT em Tuberculose,Outra Producao Bibliografica,41
INCT em Tuberculose,Prefacio Posfacio,4
INCT em Tuberculose,Texto Em Jornal Ou Revista,112
INCT em Tuberculose,Trabalho Em Eventos,1331
INCT em Tuberculose,Traducao,6
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Artigo Aceito Para Publicacao,14
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Artigo Publicado,2726
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Capitulo De Livro Publicado,371
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Livro Publicado Ou Organizado,61
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Outra Producao Bibliografica,447
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Prefacio Posfacio,1
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Texto Em Jornal Ou Revista,118
"INCT em Áreas Úmidas II: Inovações em Pesquisa, Manejo e Políticas Públicas em Áreas Úmidas  (INCT-INAU II)",Trabalho Em Eventos,1219
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Artigo Aceito Para Publicacao,7
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Artigo Publicado,2655
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Capitulo De Livro Publicado,415
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Livro Publicado Ou Organizado,113
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Outra Producao Bibliografica,17
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Prefacio Posfacio,6
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Texto Em Jornal Ou Revista,220
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Trabalho Em Eventos,1438
INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Traducao,2
INCT para Avaliação de Tecnologias em Saúde,Artigo Aceito Para Publicacao,80
INCT para Avaliação de Tecnologias em Saúde,Artigo Publicado,9460
INCT para Avaliação de Tecnologias em Saúde,Capitulo De Livro Publicado,1310
INCT para Avaliação de Tecnologias em Saúde,Livro Publicado Ou Organizado,238
INCT para Avaliação de Tecnologias em Saúde,Outra Producao Bibliografica,209
INCT para Avaliação de Tecnologias em Saúde,Prefacio Posfacio,5
INCT para Avaliação de Tecnologias em Saúde,Texto Em Jornal Ou Revista,307
INCT para Avaliação de Tecnologias em Saúde,Trabalho Em Eventos,4756
INCT para Avaliação de Tecnologias em Saúde,Traducao,11
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Artigo Aceito Para Publicacao,144
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Artigo Publicado,12604
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Capitulo De Livro Publicado,1117
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Livro Publicado Ou Organizado,206
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Outra Producao Bibliografica,127
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Prefacio Posfacio,61
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Texto Em Jornal Ou Revista,122
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Trabalho Em Eventos,11005
"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Traducao,44
INCT para Engenharia de Software,Artigo Aceito Para Publicacao,13
INCT para Engenharia de Software,Artigo Publicado,1725
INCT para Engenharia de Software,Capitulo De Livro Publicado,287
INCT para Engenharia de Software,Livro Publicado Ou Organizado,186
INCT para Engenharia de Software,Outra Producao Bibliografica,42
INCT para Engenharia de Software,Prefacio Posfacio,7
INCT para Engenharia de Software,Texto Em Jornal Ou Revista,40
INCT para Engenharia de Software,Trabalho Em Eventos,4886
INCT para Engenharia de Software,Traducao,1
INCT para Estudos sobre os Estados Unidos,Artigo Aceito Para Publicacao,25
INCT para Estudos sobre os Estados Unidos,Artigo Publicado,1576
INCT para Estudos sobre os Estados Unidos,Capitulo De Livro Publicado,1070
INCT para Estudos sobre os Estados Unidos,Livro Publicado Ou Organizado,289
INCT para Estudos sobre os Estados Unidos,Outra Producao Bibliografica,448
INCT para Estudos sobre os Estados Unidos,Prefacio Posfacio,86
INCT para Estudos sobre os Estados Unidos,Texto Em Jornal Ou Revista,1293
INCT para Estudos sobre os Estados Unidos,Trabalho Em Eventos,718
INCT para Estudos sobre os Estados Unidos,Traducao,31
INCT para Mudanças Climáticas  (INCT-MC),Artigo Aceito Para Publicacao,66
INCT para Mudanças Climáticas  (INCT-MC),Artigo Publicado,7672
INCT para Mudanças Climáticas  (INCT-MC),Capitulo De Livro Publicado,1915
INCT para Mudanças Climáticas  (INCT-MC),Livro Publicado Ou Organizado,463
INCT para Mudanças Climáticas  (INCT-MC),Outra Producao Bibliografica,555
INCT para Mudanças Climáticas  (INCT-MC),Prefacio Posfacio,95
INCT para Mudanças Climáticas  (INCT-MC),Texto Em Jornal Ou Revista,747
INCT para Mudanças Climáticas  (INCT-MC),Trabalho Em Eventos,6810
INCT para Mudanças Climáticas  (INCT-MC),Traducao,23
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Artigo Aceito Para Publicacao,9
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Artigo Publicado,1030
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Capitulo De Livro Publicado,127
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Livro Publicado Ou Organizado,39
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Outra Producao Bibliografica,13
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Prefacio Posfacio,1
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Texto Em Jornal Ou Revista,85
INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,Trabalho Em Eventos,1796
INCT para a Cadeia Produtiva do Leite,Artigo Aceito Para Publicacao,25
INCT para a Cadeia Produtiva do Leite,Artigo Publicado,4352
INCT para a Cadeia Produtiva do Leite,Capitulo De Livro Publicado,322
INCT para a Cadeia Produtiva do Leite,Livro Publicado Ou Organizado,68
INCT para a Cadeia Produtiva do Leite,Outra Producao Bibliografica,177
INCT para a Cadeia Produtiva do Leite,Prefacio Posfacio,2
INCT para a Cadeia Produtiva do Leite,Texto Em Jornal Ou Revista,226
INCT para a Cadeia Produtiva do Leite,Trabalho Em Eventos,4630
INCT para a Cadeia Produtiva do Leite,Traducao,1
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Artigo Aceito Para Publicacao,27
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Artigo Publicado,3751
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Capitulo De Livro Publicado,347
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Livro Publicado Ou Organizado,52
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Outra Producao Bibliografica,49
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Prefacio Posfacio,6
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Texto Em Jornal Ou Revista,96
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Trabalho Em Eventos,2263
INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Traducao,1
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Artigo Aceito Para Publicacao,43
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Artigo Publicado,2115
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Capitulo De Livro Publicado,729
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Livro Publicado Ou Organizado,144
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Outra Producao Bibliografica,67
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Prefacio Posfacio,29
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Texto Em Jornal Ou Revista,46
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Trabalho Em Eventos,1875
"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)",Traducao,15
